basarea,uparea,rchindex,rchid,dsrch_nrch,dsrch_rchid,start_lat,end_lat,start_lon,end_lon,numuprch,uprch_nrch1,uprch_nrch2,uprch_nrch3,uprch_nrch4,uprch_nrch5,uprch_nrch6,uprch_nrch7,uprch_nrch8,uprch_nrch9,uprch_nrch10,uprch_rchid1,uprch_rchid2,uprch_rchid3,uprch_rchid4,uprch_rchid5,uprch_rchid6,uprch_rchid7,uprch_rchid8,uprch_rchid9,uprch_rchid10,rchslope,rchman_n,rchwidth,rchlength,,,
937216,615256000,88,15387453,86,15387357,-45.852,-45.873,168.13,168.135,2,91,92,-999,-999,-999,-999,-999,-999,-999,-999,15388309,15382317,-999,-999,-999,-999,-999,-999,-999,-999,0.0255,0.024,39.53,2817,,,
5600640,45293000,89,15074085,86,15387357,-45.84,-45.873,168.087,168.135,2,230,231,-999,-999,-999,-999,-999,-999,-999,-999,15367213,15375461,-999,-999,-999,-999,-999,-999,-999,-999,0.0108,0.024,10.23,6748,,,
75136,75000,90,15075205,86,15387357,-45.874,-45.873,168.136,168.135,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0001,0.024,0.37,166,,,
70464,585844000,91,15388309,88,15387453,-45.851,-45.852,168.129,168.13,2,93,94,-999,-999,-999,-999,-999,-999,-999,-999,15388397,15367661,-999,-999,-999,-999,-999,-999,-999,-999,0.0156,0.024,38.54,130,,,
7569408,28475000,92,15382317,88,15387453,-45.854,-45.852,168.166,168.13,2,284,285,-999,-999,-999,-999,-999,-999,-999,-999,15376117,15329389,-999,-999,-999,-999,-999,-999,-999,-999,0.0085,0.024,8.05,4782,,,
1117184,570541000,93,15388397,91,15388309,-45.84,-45.851,168.135,168.129,2,95,96,-999,-999,-999,-999,-999,-999,-999,-999,15388757,15356005,-999,-999,-999,-999,-999,-999,-999,-999,0.0046,0.024,38.01,1655,,,
263744,15232000,94,15367661,91,15388309,-45.846,-45.851,168.124,168.129,2,327,328,-999,-999,-999,-999,-999,-999,-999,-999,15367165,15309181,-999,-999,-999,-999,-999,-999,-999,-999,0.0177,0.024,5.82,791,,,
158208,553985000,95,15388757,93,15388397,-45.834,-45.84,168.142,168.135,2,97,98,-999,-999,-999,-999,-999,-999,-999,-999,15388885,15338205,-999,-999,-999,-999,-999,-999,-999,-999,0.0162,0.024,37.44,877,,,
3862592,15438000,96,15356005,93,15388397,-45.795,-45.84,168.138,168.135,2,357,358,-999,-999,-999,-999,-999,-999,-999,-999,15354517,15358413,-999,-999,-999,-999,-999,-999,-999,-999,0.0071,0.024,5.86,6197,,,
891904,551863000,97,15388885,95,15388757,-45.828,-45.834,168.145,168.142,2,99,100,-999,-999,-999,-999,-999,-999,-999,-999,15389037,15292021,-999,-999,-999,-999,-999,-999,-999,-999,0.007,0.024,37.36,876,,,
1964224,1964000,98,15338205,95,15388757,-45.833,-45.834,168.174,168.142,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.00E-04,0.024,2.01,127,,,
3504384,549232000,99,15389037,97,15388885,-45.803,-45.828,168.156,168.145,2,101,102,-999,-999,-999,-999,-999,-999,-999,-999,15396269,15396093,-999,-999,-999,-999,-999,-999,-999,-999,0.0045,0.024,37.27,3556,,,
1738496,1738000,100,15292021,97,15388885,-45.82,-45.828,168.159,168.145,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0014,0.024,1.89,967,,,
5247424,538610000,101,15396269,99,15389037,-45.791,-45.803,168.167,168.156,2,103,104,-999,-999,-999,-999,-999,-999,-999,-999,15399261,15399109,-999,-999,-999,-999,-999,-999,-999,-999,0.0063,0.024,36.89,2190,,,
162048,7118000,102,15396093,99,15389037,-45.799,-45.803,168.155,168.156,2,427,428,-999,-999,-999,-999,-999,-999,-999,-999,15302685,15395869,-999,-999,-999,-999,-999,-999,-999,-999,0.0155,0.024,3.92,513,,,
283968,526840000,103,15399261,101,15396269,-45.792,-45.791,168.174,168.167,3,105,106,107,-999,-999,-999,-999,-999,-999,-999,15399397,15021813,15020613,-999,-999,-999,-999,-999,-999,-999,0.0062,0.024,36.47,613,,,
6522240,6522000,104,15399109,101,15396269,-45.776,-45.791,168.1,168.167,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.0096,0.024,3.75,6108,,,
